Package,Test Type,Samples,Source Facility,Hub,Final Destination,Region,Picked By,Event Source,Event Destination,Event Date,Event By,Event Status,Date Picked From Facilty,Date Delivered,Date Received At Final Destination
L2403099291,MEASLES,1,UNHLS,UNHLS,UVRI,Mubende ,Kitaka Livingstone,UNHLS,UVRI,01/11/2024 04:06,Kitaka Livingstone,Picked,01/11/2024 04:06,01/11/2024 05:26,\N
L2403099291,MEASLES,1,UNHLS,UNHLS,UVRI,Mubende ,Kitaka Livingstone,UVRI,UVRI,01/11/2024 05:26,Kitaka Livingstone,Delivered,01/11/2024 04:06,01/11/2024 05:26,\N
CPHL2020073PL,Histopathology,6,Hoima R R Hospital,Hoima R R Hospital,UNHLS,Busoga,Mubiru Deo,Hoima R R Hospital,UNHLS,01/11/2024 07:18,Mubiru Deo,Picked,01/11/2024 07:18,02/11/2024 09:25,\N
12361779,VL PLASMA,223,Hoima R R Hospital,Hoima R R Hospital,UNHLS,Busoga,Mubiru Deo,Hoima R R Hospital,UNHLS,01/11/2024 07:18,Mubiru Deo,Picked,01/11/2024 07:18,02/11/2024 09:25,\N
L2201035519,Monkey Pox,6,Buliisa  General Hospital,Buliisa  General Hospital,UNHLS,\N,Mubiru Deo,Buliisa  General Hospital,\N,01/11/2024 07:18,Mubiru Deo,Picked,01/11/2024 07:18,02/11/2024 09:25,\N
L2201035518,VL PLASMA,4,Buliisa  General Hospital,Buliisa  General Hospital,UNHLS,\N,Mubiru Deo,Buliisa  General Hospital,UNHLS,01/11/2024 07:19,Mubiru Deo,Picked,01/11/2024 07:19,02/11/2024 09:25,\N
L2403098749,VL PLASMA,1,Lukaya Health Care Centre,Butenga H/C IV,UNHLS,\N,Joseph Katerega,Lukaya Health Care Centre,UNHLS,01/11/2024 08:08,Joseph Katerega,Picked,01/11/2024 08:08,02/11/2024 13:44,01/11/2024 23:11
L2403098748,Histopathology,1,Lukaya Health Care Centre,Butenga H/C IV,UNHLS,\N,Joseph Katerega,Lukaya Health Care Centre,UNHLS,01/11/2024 08:08,Joseph Katerega,Picked,01/11/2024 08:08,02/11/2024 13:44,\N
L221112198,VL DBS,4,Lobo  rom H/C III,Kitgum General Hospital,Kitgum General Hospital,Ankole,Rubanga Kenne Innocent,Lobo  rom H/C III,Kitgum General Hospital,01/11/2024 08:30,Rubanga Kenne Innocent,Picked,01/11/2024 08:30,\N,\N
L221112199,CD4/CD8,3,Lobo  rom H/C III,Kitgum General Hospital,Kitgum General Hospital,Ankole,Rubanga Kenne Innocent,Lobo  rom H/C III,Kitgum General Hospital,01/11/2024 08:30,Rubanga Kenne Innocent,Picked,01/11/2024 08:30,\N,\N
L221112201,VL PLASMA,15,Mucwini H/C III,Kitgum General Hospital,Kitgum General Hospital,Ankole,Rubanga Kenne Innocent,Mucwini H/C III,Kitgum General Hospital,01/11/2024 08:30,Rubanga Kenne Innocent,Picked,01/11/2024 08:30,\N,\N
L2403158588,VL PLASMA,1,Warr H/C IV,Warr H/C IV,Warr H/C IV,Eastern ,Edward Rutatinisibwa,Warr H/C IV,Warr H/C IV,01/11/2024 08:30,Edward Rutatinisibwa,Picked,01/11/2024 08:30,\N,01/11/2024 22:11
L2403158591,VL PLASMA,3,Warr H/C IV,Warr H/C IV,Warr H/C IV,Eastern ,Edward Rutatinisibwa,Warr H/C IV,Warr H/C IV,01/11/2024 08:30,Edward Rutatinisibwa,Picked,01/11/2024 08:30,\N,\N
L2403146198,VL DBS,1,Kamubeizi H/C II,Rwekubo H/C IV,Rwekubo H/C IV,Teso,ROBERT BWAMBALE,Kamubeizi H/C II,Rwekubo H/C IV,01/11/2024 08:40,ROBERT BWAMBALE,Picked,01/11/2024 08:40,01/11/2024 12:44,03/11/2024 00:11
L2403146197,VL DBS,1,Nyakitunda H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,ROBERT BWAMBALE,Nyakitunda H/C III,Rwekubo H/C IV,01/11/2024 08:50,ROBERT BWAMBALE,Picked,01/11/2024 08:50,01/11/2024 12:44,03/11/2024 00:11
L221102300,CD4/CD8,1,Mugusu H/C III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Mugusu H/C III,UNHLS,01/11/2024 08:52,Byamukama Bosco,Picked,01/11/2024 08:52,\N,\N
L221102299,Genexpert,1,Karambi H/C III (Kabarole),FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Karambi H/C III (Kabarole),UNHLS,01/11/2024 08:52,Byamukama Bosco,Picked,01/11/2024 08:52,\N,\N
L221102297,Genexpert,0,Kasenda H/C III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Kasenda H/C III,UNHLS,01/11/2024 08:52,Byamukama Bosco,Picked,01/11/2024 08:52,\N,\N
L221102298,CD4/CD8,2,Kida Hospital,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Kida Hospital,UNHLS,01/11/2024 08:52,Byamukama Bosco,Picked,01/11/2024 08:52,\N,\N
L221102295,CD4/CD8,2,Kaswa H/C III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Kaswa H/C III,UNHLS,01/11/2024 08:52,Byamukama Bosco,Picked,01/11/2024 08:52,\N,\N
L221102294,CBC/FBC,2,Kiko H/C III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Kiko H/C III,UNHLS,01/11/2024 08:52,Byamukama Bosco,Picked,01/11/2024 08:52,\N,\N
L221102301,Genexpert,1,Maranatha H/C II,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Maranatha H/C II,UNHLS,01/11/2024 08:52,Byamukama Bosco,Picked,01/11/2024 08:52,\N,\N
L221102292,CBC/FBC,1,Ruteete H/C III (FortPortal),FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Ruteete H/C III (FortPortal),UNHLS,01/11/2024 08:52,Byamukama Bosco,Picked,01/11/2024 08:52,\N,\N
L221102302,CD4/CD8,2,Virika Hospital,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Virika Hospital,UNHLS,01/11/2024 08:53,Byamukama Bosco,Picked,01/11/2024 08:53,\N,\N
L221102290,Genexpert,2,Buziirasagama H/C II,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Buziirasagama H/C II,UNHLS,01/11/2024 08:53,Byamukama Bosco,Picked,01/11/2024 08:53,\N,\N
L221102296,CD4/CD8,2,Nkuruba H/C  III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Nkuruba H/C  III,UNHLS,01/11/2024 08:53,Byamukama Bosco,Picked,01/11/2024 08:53,\N,\N
L221102289,CD4/CD8,2,Kataraka H/C IV,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Kataraka H/C IV,UNHLS,01/11/2024 08:53,Byamukama Bosco,Picked,01/11/2024 08:53,\N,\N
L221102286,POLIO (Environmental Samples),0,KISENYI SEWAGE PONDS,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,KISENYI SEWAGE PONDS,UNHLS,01/11/2024 08:53,Byamukama Bosco,Picked,01/11/2024 08:53,\N,\N
L221102288,CBC/FBC,2,Mucwa H/C II,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Mucwa H/C II,UNHLS,01/11/2024 08:53,Byamukama Bosco,Picked,01/11/2024 08:53,\N,\N
L221102287,CD4/CD8,2,Kasusu H/C III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Kasusu H/C III,UNHLS,01/11/2024 08:53,Byamukama Bosco,Picked,01/11/2024 08:53,\N,\N
L221102284,Genexpert,2,Kabarole Hospital C.O.U,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,Kabarole Hospital C.O.U,UNHLS,01/11/2024 08:53,Byamukama Bosco,Picked,01/11/2024 08:53,\N,\N
L221102299,Genexpert,1,Karambi H/C III (Kabarole),FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,FortPortal R R Hospital,UNHLS,01/11/2024 08:54,Byamukama Bosco,Delivered,01/11/2024 08:52,\N,\N
L221102301,Genexpert,1,Maranatha H/C II,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,FortPortal R R Hospital,UNHLS,01/11/2024 08:54,Byamukama Bosco,Delivered,01/11/2024 08:52,\N,\N
L221102289,CD4/CD8,2,Kataraka H/C IV,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,FortPortal R R Hospital,UNHLS,01/11/2024 08:54,Byamukama Bosco,Delivered,01/11/2024 08:53,\N,\N
L221102297,Genexpert,0,Kasenda H/C III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,FortPortal R R Hospital,UNHLS,01/11/2024 08:54,Byamukama Bosco,Delivered,01/11/2024 08:52,\N,\N
L221102298,CD4/CD8,2,Kida Hospital,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,FortPortal R R Hospital,UNHLS,01/11/2024 08:54,Byamukama Bosco,Delivered,01/11/2024 08:52,\N,\N
L221102295,CD4/CD8,2,Kaswa H/C III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,FortPortal R R Hospital,UNHLS,01/11/2024 08:54,Byamukama Bosco,Delivered,01/11/2024 08:52,\N,\N
L221102294,CBC/FBC,2,Kiko H/C III,FortPortal R R Hospital,UNHLS,Lango,Byamukama Bosco,FortPortal R R Hospital,UNHLS,01/11/2024 08:54,Byamukama Bosco,Delivered,01/11/2024 08:52,\N,\N
